id,,imdb_title_id,title,original_title,year,genre,country,language,votes
180,,tt8009522,Nome di donna,Nome di donna,2018,Drama,Italy,Italian,310
181,,tt8011288,Goli Soda 2,Goli Soda 2,2018,Drama,India,Tamil,646
182,,tt8011324,Seethakaathi,Seethakaathi,2018,Drama,India,Tamil,719
183,,tt8020896,Da xiang xi di er zuo,Da xiang xi di er zuo,2018,Drama,China,Mandarin,4481
184,,tt8026554,Socrates,Socrates,2018,Drama,Brazil,Portuguese,642
185,,tt8027322,The Joke Thief,The Joke Thief,2018,Drama,Canada,English,3919
186,,tt8029242,Kunju Daivam,Kunju Daivam,2018,Drama,India,Malayalam,240
187,,tt8033428,Uma,Uma,2018,Drama,India,Bengali,945
199,,tt8766224,Ne Bom Vec Luzerka,Ne Bom Vec Luzerka,2018,Drama,Slovenia,Slovenian,225
200,,tt8769528,Dead Horse Nebula,Dead Horse Nebula,2018,Drama,Turkey,Turkish,252
201,,tt8784906,Ani... Dr. Kashinath Ghanekar,Ani... Dr. Kashinath Ghanekar,2018,Drama,India,Marathi,705
202,,tt8787284,Wach,Wach,2018,Drama,Germany,"German, Polish",163
203,,tt8795582,Posledice,Posledice,2018,Drama,"Slovenia, Austria",Slovenian,1366
204,,tt8805374,Las hijas del fuego,Las hijas del fuego,2018,Drama,Argentina,Spanish,512
205,,tt8822402,Bizi Hatirla,Bizi Hatirla,2018,Drama,Turkey,Turkish,1709
206,,tt8824852,Yuva,Yuva,2018,Drama,Turkey,Turkish,185
207,,tt8958304,"Iti, Tomari Dhaka","Iti, Tomari Dhaka",2018,Drama,Bangladesh,Bengali,379
208,,tt8963248,60 Vayadu Maaniram,60 Vayadu Maaniram,2018,Drama,India,Tamil,111
209,,tt9005376,Rooz-haye Narenji,Rooz-haye Narenji,2018,Drama,Iran,Persian,110
210,,tt9007142,The Dark Side of Life: Mumbai City,The Dark Side of Life: Mumbai City,2018,Drama,India,Hindi,455
211,,tt9018570,Boku wa Iesu-sama ga kirai,Boku wa Iesu-sama ga kirai,2018,Drama,Japan,Japanese,169
212,,tt9020894,Vremennye trudnosti,Vremennye trudnosti,2018,Drama,Russia,Russian,471
213,,tt3444206,Before Someone Gets Hurt,Before Someone Gets Hurt,2018,Horror,USA,English,295
214,,tt3487610,Malevolence 3: Killer,Malevolence 3: Killer,2018,Horror,USA,English,1619
215,,tt3692082,The 16th Episode,The 16th Episode,2018,Horror,USA,English,2714
216,,tt3894958,Paranormal Demons,Paranormal Demons,2018,Horror,Germany,English,289
222,,tt6389802,Mohini,Mohini,2018,Horror,India,Tamil,268
223,,tt6423998,Killer Unicorn,Killer Unicorn,2018,Horror,USA,English,134
224,,tt6424188,Betsy,Betsy,2018,Horror,USA,English,125
225,,tt6524704,Here Be Dragons,Here Be Dragons,2018,Horror,UK,English,174
226,,tt6592124,Mandy the Doll,Mandy the Doll,2018,Horror,UK,English,193
227,,tt7717990,Alem-i Cin,Alem-i Cin,2018,Horror,Turkey,Turkish,191
228,,tt7738930,Üç Harfliler: Beddua,Üç Harfliler: Beddua,2018,Horror,Turkey,Turkish,967
229,,tt7819394,Epidemic,Epidemic,2018,Horror,USA,English,190
230,,tt7900528,Let's Not Meet,Let's Not Meet,2018,Horror,USA,English,1062
231,,tt7906262,Bride of Scarecrow,Bride of Scarecrow,2018,Horror,UK,English,125
232,,tt7959500,The Farm,The Farm,2018,Horror,USA,English,1869
233,,tt7962932,I'll Take Your Dead,I'll Take Your Dead,2018,Horror,Canada,English,2903
234,,tt7966586,Kapalak Kizi,Kapalak Kizi,2018,Horror,Turkey,Turkish,504
235,,tt7975674,Reborn,Reborn,2018,Horror,USA,English,406
236,,tt7976502,Pari,Pari,2018,Horror,Pakistan,Urdu,133
237,,tt7981182,Danur 2: Maddah,Danur 2: Maddah,2018,Horror,Indonesia,Indonesian,354
238,,tt8021048,Survive The Hollow Shoals,Survive The Hollow Shoals,2018,Horror,USA,English,250
239,,tt8025310,The Odds,The Odds,2018,Horror,USA,English,805
240,,tt8113950,Last American Horror Show,Last American Horror Show,2018,Horror,USA,English,292
241,,tt9143166,Blood Falls,Blood Falls,2018,Horror,USA,English,100
242,,tt9174800,Zong xie,Zong xie,2018,Horror,Taiwan,Mandarin,169
243,,tt9213244,Antrum - Il film maledetto,Antrum: The Deadliest Film Ever Made,2018,Horror,Canada,"English, Hungarian, Japanese",1511
244,,tt9228892,Singsu,Singsu,2018,Horror,Thailand,Thai,113
245,,tt9250156,In a Stranger's House,In a Stranger's House,2018,Horror,Ireland,English,138
246,,tt9283056,Ren mian yu: Hong yu xiao nuhai waizhuan,Ren mian yu: Hong yu xiao nuhai waizhuan,2018,Horror,Taiwan,Mandarin,307
247,,tt9637246,Midday Demons,Midday Demons,2018,Horror,"Italy, Ireland",English,105
248,,tt4114302,Phir Se...,Phir Se...,2018,Romance,India,Hindi,189
249,,tt5474036,Manmarziyaan,Manmarziyaan,2018,Romance,India,Hindi,6791
250,,tt6106980,In Reality,In Reality,2018,Romance,USA,English,168
251,,tt6886062,Cheese in the Trap,Cheese in the Trap,2018,Romance,South Korea,Korean,347
252,,tt7231572,Not Cinderella's Type,Not Cinderella's Type,2018,Romance,USA,English,1842
253,,tt7239146,Todas as Canções de Amor,Todas as Canções de Amor,2018,Romance,Brazil,Portuguese,170
254,,tt7286500,Mamarêdo bôi: Marmalade Boy,Mamarêdo bôi: Marmalade Boy,2018,Romance,Japan,Japanese,210
255,,tt7817448,Total Dadagiri,Total Dadagiri,2018,Romance,India,Bengali,134
256,,tt7838158,Naa Nuvve,Naa Nuvve,2018,Romance,India,Telugu,136
257,,tt8016672,Kamuki,Kamuki,2018,Romance,India,Malayalam,207
258,,tt8043092,Sammohanam,Sammohanam,2018,Romance,India,Telugu,1367
259,,tt8208098,Pyaar Prema Kaadhal,Pyaar Prema Kaadhal,2018,Romance,India,Tamil,884
260,,tt8269204,Ammammagarillu,Ammammagarillu,2018,Romance,India,Telugu,122
261,,tt8344532,Tej... I Love You,Tej... I Love You,2018,Romance,India,Telugu,295
262,,tt8590992,Paper Boy,Paper Boy,2018,Romance,India,Telugu,225
263,,tt8637534,Yanimda Kal,Yanimda Kal,2018,Romance,Turkey,Turkish,300
264,,tt8650270,Nannu Dochukunduvate,Nannu Dochukunduvate,2018,Romance,India,Telugu,396
265,,tt8674418,24 Kisses,24 Kisses,2018,Romance,India,Telugu,130
266,,tt8710128,The Day After Valentine's,The Day After Valentine's,2018,Romance,Philippines,"Filipino, Tagalog",133
267,,tt8718066,Kakugo wa ii ka soko no joshi.,Kakugo wa ii ka soko no joshi.,2018,Romance,Japan,Japanese,108
268,,tt9081562,Bi bei shang geng bei shang de gu shi,Bi bei shang geng bei shang de gu shi,2018,Romance,Taiwan,Mandarin,833
269,,tt9226154,Krymskiy most. Sdelano s lyubovyu!,Krymskiy most. Sdelano s lyubovyu!,2018,Romance,Russia,Russian,849
270,,tt4469518,Genesis,Genesis,2018,Sci-Fi,UK,English,898
271,,tt4566780,Gray Matter,Gray Matter,2018,Sci-Fi,Canada,English,275
272,,tt6179746,The Gateway,The Gateway,2018,Sci-Fi,Australia,English,3869
273,,tt6245274,Spider-Man 2: Another World,Spider-Man 2: Another World,2018,Sci-Fi,UK,English,255
274,,tt6613878,Clara,Clara,2018,Sci-Fi,"Canada, USA",English,2976
275,,tt6945500,Impact Event,Impact Event,2018,Sci-Fi,USA,English,102
276,,tt7007846,Shangri-La: Near Extinction,Shangri-La: Near Extinction,2018,Sci-Fi,USA,English,180
277,,tt7314630,Black Flowers,Black Flowers,2018,Sci-Fi,UK,,244
278,,tt8041916,Time Jumpers,Time Jumpers,2018,Sci-Fi,USA,"English, Danish",494
279,,tt8210516,Hover,Hover,2018,Sci-Fi,USA,English,487
280,,tt8305690,Alien Expedition,Alien Expedition,2018,Sci-Fi,USA,English,393
281,,tt8548792,The Dawnseeker,The Dawnseeker,2018,Sci-Fi,USA,English,2091
282,,tt10207850,Per amore di Megan,Killer in Law,2018,Thriller,USA,English,213
